rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,steering_wheel_torque
1541191739140472382,,26723,,1541191739,140338319,'',1.25
1541191739161399634,,26724,,1541191739,161208569,'',1.375
1541191739180424393,,26725,,1541191739,180278555,'',1.25
1541191739201385846,,26726,,1541191739,201182373,'',1.375
1541191739221407149,,26727,,1541191739,221194874,'',1.0
1541191739241365145,,26728,,1541191739,241194351,'',0.8125
1541191739261568639,,26729,,1541191739,261338683,'',1.3125
1541191739280372122,,26730,,1541191739,280236271,'',1.0625
1541191739301452945,,26731,,1541191739,301266036,'',1.25
1541191739321567780,,26732,,1541191739,321194582,'',1.125
1541191739340368836,,26733,,1541191739,340231651,'',1.25
1541191739361305932,,26734,,1541191739,361174957,'',1.375
1541191739380563245,,26735,,1541191739,380321398,'',1.25
1541191739401382393,,26736,,1541191739,401206203,'',1.125
1541191739420262768,,26737,,1541191739,420116933,'',1.125
1541191739440441332,,26738,,1541191739,440338741,'',1.0625
1541191739461729871,,26739,,1541191739,461628054,'',0.9375
1541191739480519170,,26740,,1541191739,480235310,'',1.0625
1541191739500489279,,26741,,1541191739,500332194,'',1.0
1541191739520288335,,26742,,1541191739,520177657,'',0.875
1541191739540431805,,26743,,1541191739,540259036,'',1.0
1541191739560436454,,26744,,1541191739,560322600,'',1.125
1541191739580409427,,26745,,1541191739,580262444,'',1.125
1541191739600612650,,26746,,1541191739,600273600,'',1.125
1541191739620209830,,26747,,1541191739,620086737,'',0.9375
1541191739640563526,,26748,,1541191739,640381974,'',1.1875
1541191739660425565,,26749,,1541191739,660279706,'',1.25
1541191739680325362,,26750,,1541191739,680179657,'',1.1875
1541191739700288690,,26751,,1541191739,700159098,'',1.125
1541191739720264823,,26752,,1541191739,720159954,'',1.125
1541191739740519320,,26753,,1541191739,740338063,'',1.25
1541191739760290200,,26754,,1541191739,760162395,'',1.3125
1541191739780413688,,26755,,1541191739,780228474,'',1.0
1541191739800455867,,26756,,1541191739,800211358,'',1.0625
1541191739820164481,,26757,,1541191739,820028046,'',1.1875
1541191739840325183,,26758,,1541191739,840203390,'',1.3125
1541191739860486863,,26759,,1541191739,860342230,'',1.25
1541191739880347255,,26760,,1541191739,880217183,'',1.0625
1541191739900560364,,26761,,1541191739,900413558,'',1.3125
1541191739920406335,,26762,,1541191739,920225523,'',1.5625
1541191739940411427,,26763,,1541191739,940221631,'',0.875
1541191739960420713,,26764,,1541191739,960309879,'',1.3125
1541191739980479257,,26765,,1541191739,980329347,'',1.125
1541191740000407614,,26766,,1541191740,272126,'',1.25
1541191740020204048,,26767,,1541191740,19985167,'',0.6875
1541191740040390433,,26768,,1541191740,40218718,'',1.25
1541191740060378865,,26769,,1541191740,60225578,'',0.875
1541191740080390318,,26770,,1541191740,80265276,'',1.0
1541191740100448986,,26771,,1541191740,100336764,'',0.625
1541191740120295927,,26772,,1541191740,120021255,'',1.0625
1541191740140403350,,26773,,1541191740,140253529,'',0.8125
1541191740160483868,,26774,,1541191740,160359951,'',0.875
1541191740180409366,,26775,,1541191740,180265590,'',0.5625
1541191740200334733,,26776,,1541191740,200198616,'',0.3125
1541191740220071846,,26777,,1541191740,219920496,'',0.4375
1541191740240356476,,26778,,1541191740,240192224,'',0.6875
1541191740260364862,,26779,,1541191740,260271692,'',0.875
1541191740280609639,,26780,,1541191740,280396010,'',1.375
1541191740300357334,,26781,,1541191740,300220058,'',0.1875
1541191740320348900,,26782,,1541191740,320226911,'',0.75
1541191740340575872,,26783,,1541191740,340392672,'',0.5625
1541191740360403348,,26784,,1541191740,360302273,'',1.0
1541191740380447674,,26785,,1541191740,380314530,'',0.6875
1541191740400402465,,26786,,1541191740,400233515,'',0.6875
1541191740420143523,,26787,,1541191740,420021710,'',0.75
1541191740440493557,,26788,,1541191740,440328836,'',0.875
1541191740460495403,,26789,,1541191740,460335239,'',0.0
1541191740480443992,,26790,,1541191740,480263831,'',-0.1875
1541191740500478390,,26791,,1541191740,500346218,'',0.3125
1541191740520391105,,26792,,1541191740,520198148,'',0.6875
1541191740540477584,,26793,,1541191740,540292915,'',0.75
1541191740560346753,,26794,,1541191740,560210206,'',0.4375
1541191740580506758,,26795,,1541191740,580346304,'',0.6875
1541191740600447216,,26796,,1541191740,600279041,'',0.8125
1541191740619993181,,26797,,1541191740,619878141,'',0.5625
1541191740640475367,,26798,,1541191740,640329822,'',0.4375
1541191740660428481,,26799,,1541191740,660273330,'',0.3125
1541191740679553366,,26800,,1541191740,679463290,'',0.625
1541191740700510537,,26801,,1541191740,700335173,'',0.125
1541191740719921728,,26802,,1541191740,719779766,'',0.5
1541191740740471316,,26803,,1541191740,740332509,'',0.0
1541191740760477508,,26804,,1541191740,760347938,'',0.5625
1541191740780568553,,26805,,1541191740,780412670,'',0.1875
1541191740800433552,,26806,,1541191740,800264339,'',0.4375
1541191740819585526,,26807,,1541191740,819395675,'',0.0625
1541191740839436462,,26808,,1541191740,839256187,'',0.6875
1541191740860425121,,26809,,1541191740,860290162,'',0.1875
1541191740879477398,,26810,,1541191740,879355944,'',1.125
