rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,tire_press_lf,tire_press_rf,tire_press_rr_orr,tire_press_lr_olr,tire_press_rr_irr,tire_press_lr_ilr
1541191979642311427,,1549,,1541191979,642182433,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191980142299259,,1550,,1541191980,142189316,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191980647267099,,1551,,1541191980,647141361,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191981142156790,,1552,,1541191981,142025688,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191981642137911,,1553,,1541191981,641981177,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191982142021876,,1554,,1541191982,141904073,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191982641951273,,1555,,1541191982,641835319,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191983141911547,,1556,,1541191983,141778715,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191983641814273,,1557,,1541191983,641710715,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191984141751965,,1558,,1541191984,141651170,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191984642719625,,1559,,1541191984,642605038,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191985143671877,,1560,,1541191985,143492784,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191985642260539,,1561,,1541191985,642137086,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191986141819654,,1562,,1541191986,141729879,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191986642500459,,1563,,1541191986,642377019,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191987142145437,,1564,,1541191987,142037052,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191987642502295,,1565,,1541191987,642339951,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191988142275585,,1566,,1541191988,142163245,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191988642199154,,1567,,1541191988,642090954,'',32.0,29.0,33.0,34.0,255.0,255.0
