rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,throttle_rate,throttle_pc,engine_rpm
1541198209372583060,,53788,,1541198209,372433181,'',11.6000003815,0.0,1418.0
1541198209381037232,,53789,,1541198209,380921417,'',12.0,0.0399999991059,1418.0
1541198209394463680,,53790,,1541198209,394087387,'',12.0,0.0,1418.0
1541198209401472402,,53791,,1541198209,401197275,'',12.3000001907,0.0,1418.0
1541198209412617406,,53792,,1541198209,412437327,'',12.8000001907,0.0399999991059,1418.0
1541198209421038695,,53793,,1541198209,420896047,'',12.8000001907,0.0,1418.0
1541198209432659225,,53794,,1541198209,432487109,'',13.1999998093,0.0399999991059,1420.0
1541198209441667281,,53795,,1541198209,441545617,'',13.3999996185,0.0,1418.0
1541198209453027256,,53796,,1541198209,452897745,'',13.3999996185,0.0,1420.0
1541198209461147173,,53797,,1541198209,461020180,'',13.6000003815,0.0,1420.0
1541198209473481567,,53798,,1541198209,473311059,'',13.6000003815,0.0,1426.0
1541198209481487780,,53799,,1541198209,481352317,'',13.6000003815,0.0,1426.0
1541198209494289794,,53800,,1541198209,494145507,'',13.8000001907,0.0,1426.0
1541198209501384584,,53801,,1541198209,501245446,'',13.8999996185,0.0,1432.0
1541198209512526118,,53802,,1541198209,512422193,'',13.8999996185,0.0,1442.0
1541198209521694274,,53803,,1541198209,521529576,'',14.1000003815,0.0,1446.0
1541198209533523364,,53804,,1541198209,533163418,'',14.1999998093,0.0,1446.0
1541198209541430934,,53805,,1541198209,541293989,'',14.1999998093,0.0,1452.0
1541198209553234405,,53806,,1541198209,553034888,'',14.3999996185,0.0,1458.0
1541198209562172266,,53807,,1541198209,561988495,'',14.5,0.0,1462.0
1541198209572774339,,53808,,1541198209,572530368,'',14.5,0.0,1462.0
1541198209581923341,,53809,,1541198209,581808779,'',14.6000003815,0.0,1466.0
1541198209594249116,,53810,,1541198209,594083482,'',14.6000003815,0.0,1474.0
1541198209601334844,,53811,,1541198209,601167419,'',14.6000003815,0.0,1474.0
1541198209612578769,,53812,,1541198209,612447783,'',14.6000003815,0.0,1476.0
1541198209622056522,,53813,,1541198209,621850329,'',14.6000003815,0.0,1478.0
1541198209633345551,,53814,,1541198209,633190619,'',14.6000003815,0.0,1484.0
1541198209641445739,,53815,,1541198209,641318328,'',14.6000003815,0.0,1484.0
1541198209653238267,,53816,,1541198209,653009063,'',14.6000003815,0.0,1486.0
1541198209661166902,,53817,,1541198209,661012535,'',14.6000003815,0.0,1490.0
1541198209672680095,,53818,,1541198209,672476587,'',14.6000003815,0.0,1496.0
1541198209682005234,,53819,,1541198209,681858247,'',14.6000003815,0.0,1496.0
1541198209694350463,,53820,,1541198209,694191803,'',14.6000003815,0.0,1496.0
1541198209701381134,,53821,,1541198209,701280693,'',14.6000003815,0.0,1496.0
1541198209712623757,,53822,,1541198209,712484804,'',14.6000003815,0.0,1500.0
1541198209721975689,,53823,,1541198209,721851643,'',14.6000003815,0.0,1500.0
1541198209732792381,,53824,,1541198209,732473589,'',14.6000003815,0.0,1500.0
1541198209742013482,,53825,,1541198209,741868115,'',14.6000003815,0.0,1500.0
1541198209753021274,,53826,,1541198209,752889200,'',14.6000003815,0.0,1502.0
1541198209761397574,,53827,,1541198209,761010807,'',14.6000003815,0.0,1502.0
1541198209772540638,,53828,,1541198209,772428929,'',14.6000003815,0.0,1500.0
1541198209781898123,,53829,,1541198209,781775791,'',14.6000003815,0.0,1496.0
1541198209793627745,,53830,,1541198209,793496094,'',14.6000003815,0.0,1496.0
1541198209801676450,,53831,,1541198209,801538356,'',14.6000003815,0.0,1496.0
1541198209812610105,,53832,,1541198209,812461933,'',14.6000003815,0.0,1492.0
1541198209821841401,,53833,,1541198209,821741901,'',14.6000003815,0.0,1490.0
1541198209833193423,,53834,,1541198209,833043229,'',14.6000003815,0.0,1486.0
1541198209841459121,,53835,,1541198209,841199272,'',14.6000003815,0.0,1486.0
1541198209852984761,,53836,,1541198209,852868389,'',14.6000003815,0.0,1482.0
1541198209861429369,,53837,,1541198209,861176941,'',14.6000003815,0.0,1482.0
1541198209872643714,,53838,,1541198209,872480158,'',14.6000003815,0.0,1484.0
1541198209881694670,,53839,,1541198209,881558768,'',14.6000003815,0.0,1484.0
1541198209894192692,,53840,,1541198209,894058261,'',14.6000003815,0.0,1476.0
1541198209901378123,,53841,,1541198209,901124229,'',14.6000003815,0.0,1478.0
1541198209912650569,,53842,,1541198209,912471495,'',14.6000003815,0.0,1480.0
1541198209922026423,,53843,,1541198209,921852713,'',14.6000003815,0.0,1480.0
1541198209933241679,,53844,,1541198209,933122121,'',14.6000003815,0.0,1478.0
1541198209941380174,,53845,,1541198209,941230339,'',14.6000003815,0.0,1478.0
1541198209953120766,,53846,,1541198209,952894910,'',14.6000003815,0.0,1482.0
1541198209961118213,,53847,,1541198209,960989625,'',14.6000003815,0.0,1482.0
1541198209973615013,,53848,,1541198209,973458050,'',14.6000003815,0.0,1480.0
1541198209982020715,,53849,,1541198209,981895583,'',14.6000003815,0.0,1482.0
1541198209994327244,,53850,,1541198209,994166613,'',14.6000003815,0.0,1482.0
1541198210001421044,,53851,,1541198210,1252906,'',14.6000003815,0.0,1482.0
1541198210012652843,,53852,,1541198210,12507787,'',14.6000003815,0.0,1482.0
1541198210022055789,,53853,,1541198210,21870330,'',14.6000003815,0.0,1480.0
1541198210032654908,,53854,,1541198210,32470341,'',14.6000003815,0.0,1480.0
1541198210041994028,,53855,,1541198210,41817301,'',14.6000003815,0.0,1482.0
1541198210053380866,,53856,,1541198210,53227582,'',14.6000003815,0.0,1480.0
1541198210061456425,,53857,,1541198210,61282339,'',14.1999998093,-0.0799999982119,1482.0
1541198210072625890,,53858,,1541198210,72470705,'',13.8999996185,-0.0399999991059,1482.0
1541198210082060884,,53859,,1541198210,81911880,'',13.8999996185,0.0,1484.0
1541198210093713881,,53860,,1541198210,93529920,'',13.6000003815,-0.0399999991059,1484.0
1541198210101045859,,53861,,1541198210,100896843,'',13.1999998093,-0.0799999982119,1484.0
1541198210112613262,,53862,,1541198210,112483304,'',13.1999998093,0.0,1484.0
1541198210121663093,,53863,,1541198210,121530197,'',12.6999998093,-0.0799999982119,1486.0
1541198210133472978,,53864,,1541198210,133137744,'',12.1999998093,-0.0799999982119,1482.0
1541198210141443673,,53865,,1541198210,141281699,'',12.1999998093,0.0,1482.0
1541198210152974436,,53866,,1541198210,152866388,'',11.8999996185,-0.0399999991059,1482.0
1541198210161470886,,53867,,1541198210,161020055,'',11.6000003815,-0.0399999991059,1480.0
1541198210172616937,,53868,,1541198210,172508667,'',11.6000003815,0.0,1476.0
1541198210181795930,,53869,,1541198210,181691055,'',11.5,-0.0399999991059,1472.0
1541198210194264493,,53870,,1541198210,194128112,'',11.3999996185,-0.0399999991059,1472.0
